T,P,v_f,v_g,u_f,u_g,h_f,h_g,s_f,s_g,,v_x,u_x,h_x,s_x
[oC],[kPa],[m3/kg],[m3/kg],[kJ/kg],[kJ/kg],[kJ/kg],[kJ/kg],[kJ/kg/K],[kJ/kg/K],quality,0.5,0.5,0.5,0.5
331,13023.924,0.00157,0.0128,1511.9,2496.2,1532.35,2662.33,3.5621,5.4324,,,,,
332,13192.029,0.00157,0.0125,1518.2,2493.1,1539.02,2658.30,3.5727,5.4223,,,,,
333,13361.854,0.00158,0.0123,1524.6,2489.9,1545.74,2654.18,3.5833,5.4120,,,,,
334,13533.414,0.00159,0.0121,1531.0,2486.6,1552.51,2649.95,3.5940,5.4016,,,,,
335,13706.727,0.00160,0.0119,1537.5,2483.1,1559.34,2645.60,3.6048,5.3910,,,,,
336,13881.809,0.00160,0.0116,1544.0,2479.6,1566.23,2641.14,3.6157,5.3803,,,,,
337,14058.677,0.00161,0.0114,1550.5,2476.0,1573.18,2636.57,3.6266,5.3694,,,,,
338,14237.350,0.00162,0.0112,1557.1,2472.3,1580.20,2631.86,3.6376,5.3584,,,,,
339,14417.845,0.00163,0.0110,1563.8,2468.5,1587.29,2627.03,3.6488,5.3473,,,,,
340,14600.181,0.00164,0.0108,1570.5,2464.6,1594.45,2622.07,3.6599,5.3359,,,,,
341,14784.377,0.00165,0.0106,1577.3,2460.6,1601.68,2616.96,3.6712,5.3244,,,,,
342,14970.451,0.00166,0.0104,1584.2,2456.4,1608.99,2611.71,3.6826,5.3127,,,,,
343,15158.424,0.00166,0.0102,1591.1,2452.1,1616.38,2606.30,3.6941,5.3008,,,,,
344,15348.316,0.00167,0.0100,1598.2,2447.7,1623.86,2600.74,3.7058,5.2886,,,,,
345,15540.148,0.00168,0.0098,1605.3,2443.2,1631.44,2595.01,3.7175,5.2763,,,,,
346,15733.941,0.00169,0.0096,1612.4,2438.5,1639.11,2589.10,3.7294,5.2637,,,,,
347,15929.716,0.00171,0.0094,1619.7,2433.6,1646.88,2583.02,3.7414,5.2509,,,,,
348,16127.496,0.00172,0.0092,1627.1,2428.6,1654.75,2576.74,3.7535,5.2378,,,,,
349,16327.304,0.00173,0.0090,1634.5,2423.5,1662.75,2570.27,3.7658,5.2245,,,,,
350,16529.164,0.00174,0.0088,1642.1,2418.1,1670.89,2563.63,3.7783,5.2109,,,,,
351,16733.100,0.00175,0.0086,1649.8,2412.6,1679.14,2556.72,3.7910,5.1970,,,,,
352,16939.138,0.00177,0.0084,1657.6,2406.9,1687.54,2549.56,3.8039,5.1827,,,,,
353,17147.303,0.00178,0.0082,1665.6,2400.9,1696.09,2542.14,3.8169,5.1681,,,,,
354,17357.621,0.00179,0.0081,1673.7,2394.7,1704.81,2534.45,3.8302,5.1531,,,,,
355,17570.122,0.00181,0.0079,1681.9,2388.2,1713.71,2526.45,3.8438,5.1377,,,,,
356,17784.833,0.00182,0.0077,1690.4,2381.5,1722.80,2518.13,3.8577,5.1218,,,,,
357,18001.785,0.00184,0.0075,1699.0,2374.5,1732.10,2509.46,3.8718,5.1054,,,,,
358,18221.009,0.00186,0.0073,1707.8,2367.2,1741.63,2500.40,3.8863,5.0885,,,,,
359,18442.537,0.00188,0.0071,1716.8,2359.4,1751.42,2490.93,3.9011,5.0709,,,,,
360,18666.403,0.00189,0.0069,1726.1,2351.4,1761.49,2480.99,3.9164,5.0527,,,,,
361,18892.645,0.00192,0.0068,1735.7,2342.8,1771.88,2470.53,3.9321,5.0338,,,,,
362,19121.298,0.00194,0.0066,1745.6,2333.8,1782.62,2459.49,3.9483,5.0140,,,,,
363,19352.406,0.00196,0.0064,1755.8,2324.2,1793.78,2447.79,3.9651,4.9932,,,,,
364,19586.011,0.00199,0.0062,1766.5,2314.0,1805.41,2435.34,3.9827,4.9714,,,,,
365,19822.162,0.00202,0.0060,1777.6,2303.0,1817.59,2422.01,4.0010,4.9482,,,,,
366,20060.914,0.00205,0.0058,1789.4,2291.1,1830.44,2407.62,4.0204,4.9235,,,,,
367,20302.327,0.00208,0.0056,1801.8,2278.2,1844.09,2391.98,4.0410,4.8968,,,,,
368,20546.474,0.00212,0.0054,1815.2,2263.9,1858.77,2374.76,4.0631,4.8679,,,,,
369,20793.448,0.00217,0.0052,1829.7,2247.8,1874.79,2355.51,4.0872,4.8358,,,,,
370,21043.367,0.00222,0.0049,1845.9,2229.4,1892.64,2333.50,4.1142,4.7996,,,,,
371,21296.405,0.00229,0.0047,1864.5,2207.5,1913.25,2307.46,4.1453,4.7573,,,,,
372,21552.836,0.00238,0.0044,1887.2,2179.9,1938.54,2274.69,4.1836,4.7046,,,,,
373,21813.163,0.00253,0.0040,1919.0,2139.8,1974.14,2227.55,4.2377,4.6299,,,,,
373.9,22051.673,0.00293,0.0033,1991.3,2048.7,2055.82,2121.66,4.3631,4.4648,,,,,
